date,code,market,prev_close,ref_price,kind,ratio
2023-06-01,4923,上櫃,51.4,42.83,除權,0.8332684824902724
2023-06-01,5523,上櫃,26.5,25.0,除息,0.9433962264150944
2023-06-01,6269,上市,98.7,93.69,息,0.949240121580547
2023-06-01,6576,上櫃,83.7,82.58,除權,0.9866188769414576
2023-06-01,6654,上櫃,49.7,48.7,除息,0.9798792756539235
2023-06-01,6690,上櫃,178.0,173.5,除息,0.9747191011235955
2023-06-01,8171,上櫃,56.9,54.97,除權,0.9660808435852373
2023-06-02,1587,上市,22.9,21.9,息,0.9563318777292577
2023-06-02,3443,上市,1535.0,1521.0,息,0.9908794788273616
2023-06-05,4958,上市,114.5,108.5,息,0.9475982532751092
2023-06-05,8454,上市,710.0,695.0,息,0.9788732394366197
2023-06-06,1605,上市,46.95,45.15,息,0.9616613418530351
2023-06-06,2201,上市,90.6,89.12,權,0.983664459161148
2023-06-06,6855,上櫃,88.5,84.0,除息,0.9491525423728814
2023-06-06,9940,上市,30.0,28.8,息,0.9600000000000001
2023-06-07,2347,上市,63.4,59.9,息,0.944794952681388
2023-06-07,2467,上市,52.6,49.0,息,0.9315589353612167
2023-06-07,2642,上市,45.85,44.35,息,0.9672846237731734
2023-06-07,2809,上市,36.25,35.15,息,0.9696551724137931
2023-06-07,3563,上市,215.5,207.5,息,0.962877030162413
2023-06-07,4440,上市,34.4,31.4,息,0.9127906976744186
2023-06-07,6248,上櫃,29.35,27.53,除息,0.9379897785349234
2023-06-07,910322,上市,25.25,24.23,息,0.9596039603960396
2023-06-08,3541,上櫃,60.3,55.3,除息,0.9170812603648425
2023-06-08,4735,上櫃,38.6,38.1,除息,0.9870466321243523
2023-06-08,5434,上市,201.0,189.47,權息,0.942636815920398
2023-06-08,6188,上櫃,72.7,69.5,除息,0.9559834938101788
2023-06-08,6491,上市,382.0,372.0,息,0.9738219895287958
2023-06-08,6548,上櫃,43.5,42.69,除息,0.9813793103448275
2023-06-08,8028,上市,61.7,59.9,息,0.9708265802269043
2023-06-08,8424,上櫃,71.9,67.2,除息,0.9346314325452016
